SAM2 Video Prediction: 05_default_juggle
==================================================
Input: C:\workspace\SAM2\.dataset\video_samples\05_default_juggle\05_default_juggle.mp4
Frames: 247, Size: 1280x720
FPS: 24.0
Checkpoint: loaded
Device: cuda
Frame 115: objs=[1], area=6918
Frame 116: objs=[1], area=6849
Frame 117: objs=[1], area=6894
Frame 118: objs=[1], area=6719
Frame 119: objs=[1], area=7023
Frame 120: objs=[1], area=6921
Frame 121: objs=[1], area=6858
Frame 122: objs=[1], area=6836
Frame 123: objs=[1], area=6923
Frame 124: objs=[1], area=7071
Frame 125: objs=[1], area=7361
Frame 126: objs=[1], area=7470
Frame 127: objs=[1], area=9205
Frame 128: objs=[1], area=6526
Frame 129: objs=[1], area=6371
Frame 130: objs=[1], area=6430
Frame 131: objs=[1], area=6093
Frame 132: objs=[1], area=6002
Frame 133: objs=[1], area=5980
Frame 134: objs=[1], area=5945
Frame 135: objs=[1], area=5859
Frame 136: objs=[1], area=5889
Frame 137: objs=[1], area=5971
Frame 138: objs=[1], area=6076
Frame 139: objs=[1], area=6445
Frame 140: objs=[1], area=6540
Frame 141: objs=[1], area=6592
Frame 142: objs=[1], area=6757
Frame 143: objs=[1], area=6094
Frame 144: objs=[1], area=6408
Frame 145: objs=[1], area=6379
Frame 146: objs=[1], area=6356
Frame 147: objs=[1], area=6359
Frame 148: objs=[1], area=6231
Frame 149: objs=[1], area=6195
Frame 150: objs=[1], area=6095
Frame 151: objs=[1], area=6113
Frame 152: objs=[1], area=6156
Frame 153: objs=[1], area=6271
Frame 154: objs=[1], area=6483
Frame 155: objs=[1], area=6764
Frame 156: objs=[1], area=6918
Frame 157: objs=[1], area=7155
Frame 158: objs=[1], area=7218
Frame 159: objs=[1], area=6835
Frame 160: objs=[1], area=7013
Frame 161: objs=[1], area=6976
Frame 162: objs=[1], area=6986
Frame 163: objs=[1], area=7016
Frame 164: objs=[1], area=7044
Frame 165: objs=[1], area=7062
Frame 166: objs=[1], area=7098
Frame 167: objs=[1], area=7162
Frame 168: objs=[1], area=7340
Frame 169: objs=[1], area=7625
Frame 170: objs=[1], area=7687
Frame 171: objs=[1], area=8252
Frame 172: objs=[1], area=8660
Frame 173: objs=[1], area=8740
Frame 174: objs=[1], area=7462
Frame 175: objs=[1], area=8000
Frame 176: objs=[1], area=7719
Frame 177: objs=[1], area=7556
Frame 178: objs=[1], area=7402
Frame 179: objs=[1], area=7202
Frame 180: objs=[1], area=7240
Frame 181: objs=[1], area=7134
Frame 182: objs=[1], area=7093
Frame 183: objs=[1], area=7195
Frame 184: objs=[1], area=7152
Frame 185: objs=[1], area=7184
